id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3344,"White House-Center City, entire 2BR/2BA Condo",4957,A.J.,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90145,-77.02679,Entire home/apt,150,59,10,2016-08-31,0.05,2,362,0,
3686,Vita's Hideaway,4645,Vita,,Historic Anacostia,38.86339,-76.98889,Private room,60,31,84,2023-08-30,0.47,1,298,0,
3943,Historic Rowhouse Near Monuments,5059,Vasa,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91195,-77.00456,Private room,79,1,546,2025-05-27,2.78,5,331,41,Hosted License: 5007242201001033
4197,Capitol Hill Bedroom walk to Metro,5061,Sandra,,"Capitol Hill, Lincoln Park",38.88719,-76.99472,Private room,128,6,67,2025-05-20,0.34,2,346,6,Hosted License: 5007242201000749
4529,Bertina's  House Part One,5803,Bertina,,"Eastland Gardens, Kenilworth",38.90585,-76.94469,Private room,,30,102,2019-07-05,0.53,2,63,0,Exempt
5589,Cozy apt in Adams Morgan,6527,Ami,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91887,-77.04008,Entire home/apt,87,50,96,2023-08-17,0.50,1,133,0,
7103,Lovely guest suite in a quiet but close-in neighborhood,17633,Charlotte,,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.91999,-77.09774,Entire home/apt,74,31,91,2022-06-03,0.49,22,319,0,
11785,Sanctuary near Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92622,-77.07591,Entire home/apt,90,31,416,2025-05-31,2.21,4,269,2,
12442,Peaches & Cream near Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92756,-77.07667,Private room,52,31,120,2024-12-20,0.65,4,303,2,
13744,"Heart of the City -HalfBlock to METRO, Restaurants",53927,Victoria,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92836,-77.03136,Entire home/apt,125,30,38,2023-11-14,0.21,1,225,0,Hosted License: 5007242201000873
14218,Quiet Comfort near Nat'l Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92668,-77.07686,Private room,64,31,106,2025-02-28,0.62,4,287,2,
17131,The Loft near National Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92644,-77.07646,Private room,64,31,109,2025-01-13,0.59,4,321,1,
27682,Private 1-bed apartment-Walk to METRO,36646,Ellen,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.9665,-77.00645,Entire home/apt,70,90,12,2025-05-03,0.07,2,287,1,
32087,Historic bed and breakfast Kalorama Washington DC,138459,Lucia,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91766,-77.04598,Private room,229,1,16,2024-09-25,0.10,11,330,1,Exempt
52092,People's Place 2- Convention Center,50148,Adreinne,,"Shaw, Logan Circle",38.9077,-77.02431,Entire home/apt,,31,197,2024-11-30,1.10,2,273,1,
62122,"STUDIO SUITE IN THE TREE TOPS:ADAMS MORGAN,WOODLEY",301975,Sarah,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92238,-77.04709,Entire home/apt,84,5,167,2025-06-01,1.07,1,140,29,Hosted License: 5007242201000081
67483,Charming B & B in Columbia Heights,332901,Chris And Shawanda,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.934628,-77.029839,Entire home/apt,76,31,165,2025-06-01,0.94,1,213,3,
93551,Upscale Master Close to Everything,481929,Christopher,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91433,-77.01876,Private room,79,31,104,2024-12-14,0.60,4,362,1,
116951,Upscale Private Close to Everything,481929,Christopher,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91436,-77.0181,Private room,71,31,87,2024-11-01,0.51,4,325,2,
150109,Great apartment in perfect location,723470,Steffanie,,"Dupont Circle, Connecticut Avenue/K Street",38.91525,-77.04001,Entire home/apt,,31,30,2022-03-01,0.18,1,70,0,
153545,Guest Room 3 miles to the White House,738459,Natasha,,"Brightwood Park, Crestwood, Petworth",38.94286,-77.04417,Private room,67,30,41,2024-12-13,0.24,4,0,1,Hosted License: 5007242201000811<br />Unhosted License: 5007262201000812
155859,~Upper North West GuestNest DC,745305,Larry And Paulette,,"Takoma, Brightwood, Manor Park",38.96628,-77.0309,Private room,,31,129,2019-10-28,0.76,2,86,0,
161913,X-tra large suite;3 min Wlk 2 Metro,767543,Dana,,"Dupont Circle, Connecticut Avenue/K Street",38.91296,-77.04639,Private room,99,31,5,2015-08-10,0.04,2,365,0,
164069,Master en-suite in historical house near monuments,5059,Vasa,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91366,-77.00803,Private room,115,1,265,2025-05-18,1.56,5,349,32,Hosted License: 5007242201001033
174808,Historic American Four Square,835242,Jeffrey,,Historic Anacostia,38.86432,-76.98749,Private room,95,2,93,2025-06-14,0.83,1,170,6,Hosted License: 5007242201001736
175608,People's Place  - Convention Center,50148,Adreinne,,"Shaw, Logan Circle",38.90756,-77.02212,Entire home/apt,72,31,191,2024-08-24,1.15,2,13,1,
178395,"Spare Room for Washington,DC Visit or entire house",852801,Allison,,"Takoma, Brightwood, Manor Park",38.96165,-77.01858,Private room,255,31,0,,,2,365,0,
196429,"Takoma Garden apt-Lush yard,pets ok",956417,Julia,,"Takoma, Brightwood, Manor Park",38.96923,-77.02041,Entire home/apt,119,31,5,2022-04-01,0.04,1,358,0,
198685,Private room in central location.,966613,Robin,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.93395,-77.01625,Private room,59,31,162,2025-05-03,0.96,1,213,5,
